id,County,District,Type,Kindergarteners_with_Vaccination,value,exempt
Rush Springs ES,Grady,Rush Springs,Public,26,0.92,0.04
Holmes Park ES,Creek,Sapulpa,Public,99,0.92,0
Shawnee Early Childhood Center,Pottawatomie,Shawne,Public,263,0.92,0.02
Skyline ES,Payne,Stillwater,Public,74,0.92,0.05
Westwood ES (Payne County),Payne,Stillwater,Public,79,0.92,0.03
Columbus ES,Tulsa,Tulsa,Public,60,0.92,0
Kendall-Whittier ES,Tulsa,Tulsa,Public,114,0.92,0.03
Lindbergh ES,Tulsa,Tulsa,Public,59,0.92,0
Salk ES,Tulsa,Tulsa,Public,92,0.92,0.01
Sequoyah ES (Tulsa County),Tulsa,Tulsa,Public,83,0.92,0
Grove ES,Tulsa,Union,Public,61,0.92,0.03
Whitefield Public School,Haskell,Whitefield,Public,25,0.92,0.04
Brantly ES,Pushmataha,Antlers,Public,76,0.91,0
Atoka ES,Atoka,Atoka,Public,54,0.91,0.04
Barnsdall ES,Osage,Barnsdall,Public,23,0.91,0.09
Beggs ES,Okmulgee,Beggs,Public,68,0.91,0
Bluejacket ES,Craig,Bluejacket,Public,11,0.91,0
Briggs Public School,Cherokee,Briggs,Public,46,0.91,0.07
Vandever ES,Tulsa,Broken Arrow,Public,65,0.91,0.05
Buffalo Valley ES,Latimer,Buffalo Valley,Public,11,0.91,0
Helen Paul Learning Center,Rogers,Catoosa,Public,139,0.91,0.01
Bill Wallace Early Childhood Center,Grady,Chickasha,Public,161,0.91,0.03
Roosa ES,Rogers,Claremore,Public,45,0.91,0
Dibble ES,McClain,Dibble,Public,44,0.91,0.02
Plato ES,Stephens,Duncan,Public,44,0.91,0
Orvis Risner ES,Oklahoma,Edmond,Public,88,0.91,0.03
Fort Towson ES,Choctaw,Fort Townson,Public,22,0.91,0
Grand View Public School,Cherokee,Grand View,Public,64,0.91,0
Healdton ES,Carter,Healdton,Public,22,0.91,0.09
Justus-Tiawah Public School,Rogers,Justus-Tiawah,Public,54,0.91,0.02
Kansas ES,Delaware,Kansas,Public,55,0.91,0
Laverne ES,Harper,Laverne,Public,35,0.91,0
Pioneer Park ES,Comanche,Lawton,Public,58,0.91,0
Midwest City ES,Oklahoma,Midwest City-Del City,Public,138,0.91,0.01
Briarwood ES,Cleveland,Moore,Public,82,0.91,0
Northmoor ES,Cleveland,Moore,Public,44,0.91,0
Pershing ES,Muskogee,Muskogee,Public,65,0.91,0
Lincoln ES (Cleveland County),Cleveland,Norman,Public,44,0.91,0.05
Parmelee ES,Oklahoma,Oklahoma City,Public,129,0.91,0.01
Prairie Queen ES,Oklahoma,Oklahoma City,Public,122,0.91,0
Oklahoma Union ES,Nowata,Oklahoma Union,Public,46,0.91,0
Hayward Smith ES,Tulsa,Owasso,Public,70,0.91,0.01
Peckham Public School,Kay,Peckham,Public,11,0.91,0.09
Hilldale ES,Oklahoma,Putnam City,Public,117,0.91,0
Ward ES,Osage,Shidler,Public,23,0.91,0.04
South Rock Creek Public School,Pottawatomie,South Rock Creek,Public,44,0.91,0.02
Strother ES,Seminole,Strother,Public,23,0.91,0.04
Eisenhower International ES,Tulsa,Tulsa,Public,115,0.91,0.14
Eugene Field ES (Tulsa County),Tulsa,Tulsa,Public,54,0.91,0
Henry Zarrow International School,Tulsa,Tulsa,Public,96,0.91,0.05
Whitman ES,Tulsa,Tulsa,Public,45,0.91,0
Andersen ES,Tulsa,Union,Public,55,0.91,0.04
Vanoss ES,Pontotoc,Vanoss,Public,47,0.91,0.02
Warner ES,Muskogee,Warner,Public,65,0.91,0
Washington ES (McClain County),McClain,Washington,Public,80,0.91,0.03
Balko ES,Beaver,Balko,Public,10,0.9,0
Earl Harris ES,Oklahoma,Bethany,Public,102,0.9,0.06
Liberty ES (Broken Arrow District),Tulsa,Broken Arrow,Public,96,0.9,0.05
Spring Creek ES (Tulsa County),Tulsa,Broken Arrow,Public,81,0.9,0.09
Caney ES,Atoka,Caney,Public,20,0.9,0.05
Cashion ES,Kingfisher,Cashion,Public,41,0.9,0.05
Art Goad ES,Rogers,Chelsea,Public,72,0.9,0.06
Cheyenne ES,Roger Mills,Cheyenee,Public,20,0.9,0
Central ES (Wagoner County),Wagoner,Coweta,Public,67,0.9,0.1
Eagletown ES,McCurtain,Eagletown,Public,10,0.9,0
Chisholm ES (Oklahoma County),Oklahoma,Edmond,Public,114,0.9,0.05
Friend Public School,Grady,Friend,Public,31,0.9,0.1
Idabel Primary South ES,McCurtain,Idabel,Public,104,0.9,0.01
Casady School,Oklahoma,Isas,Private,30,0.9,0
Keota ES,Haskell,Keota,Public,31,0.9,0
Keystone Public School,Tulsa,Keystone,Public,30,0.9,0.07
Lexington ES,Cleveland,Liberty,Public,61,0.9,0.02
Macomb ES,Pottawatomie,Macomb,Public,21,0.9,0.05
Highland Park ES (Oklahoma County),Oklahoma,Midwest City-Del City,Public,83,0.9,0
Steed ES,Oklahoma,Midwest City-Del City,Public,80,0.9,0.03
Fairview ES,Cleveland,Moore,Public,99,0.9,0.03
Sky Ranch ES,Cleveland,Moore,Public,97,0.9,0.01
New Lima ES,Seminole,New Lima,Public,30,0.9,0
Nowata ES,Nowata,Nowata,Public,69,0.9,0.03
Edwards ES,Oklahoma,Oklahoma City,Public,41,0.9,0
Nichols Hills ES,Oklahoma,Oklahoma City,Public,72,0.9,0.01
Quail Creek ES,Oklahoma,Oklahoma City,Public,63,0.9,0.02
Jefferson ES (Mayes County),Mayes,Pryor,Public,42,0.9,0.02
Apollo ES,Oklahoma,Putnam City,Public,78,0.9,0.01
Northridge ES,Oklahoma,Putnam City,Public,120,0.9,0.03
Limestone ES,Tulsa,Sand Springs,Public,50,0.9,0
Parkview ES (Lincoln County),Lincoln,Stroud,Public,49,0.9,0
Disney ES,Tulsa,Tulsa,Public,83,0.9,0
White Rock Public School,Lincoln,White Rock,Public,10,0.9,0
Wister ES,Le Flore,Wister,Public,31,0.9,0
Skyview ES,Canadian,Yukon,Public,111,0.9,0.03
