id,County,District,Type,Kindergarteners_with_Vaccination,exempt,value
Roosevelt ES (Kay County),Kay,Ponca City,Public,54,0.02,0.918
Aline-Cleo ES,Major,Aline-Cleo,Public,12,0.08,0.917
Canute ES,Washita,Canute,Public,25,0,0.917
Comanche ES,Stephens,Comanche,Public,76,0.08,0.917
Dennis ES,Oklahoma,Putnam City,Public,68,0.06,0.917
Horace Mann ES (Oklahoma County),Oklahoma,Oklahoma City,Public,48,0.02,0.917
Immanuel Lutheran Christian Academy,Tulsa,NLSA,Private,13,0.08,0.917
Luther ES,Oklahoma,Luther,Public,65,0.09,0.917
Mark Twain ES (Oklahoma County),Oklahoma,Oklahoma City,Public,48,0,0.917
Paoli ES,Garvin,Paoli,Public,12,0.08,0.917
St. Paul's Lutheran School,Garfield,NA,Private,12,0.08,0.917
Sunnybrook Christian School,Payne,ACSI,Private,12,0,0.917
Trinity Lutheran School,Cleveland,NLSA,Private,12,0.08,0.917
Sequoyah ES (Tulsa County),Tulsa,Tulsa,Public,83,0,0.916
Lincoln ES (Mayes County),Mayes,Pryor,Public,111,0,0.915
Vanoss ES,Pontotoc,Vanoss,Public,47,0.02,0.915
Parmelee ES,Oklahoma,Oklahoma City,Public,129,0.01,0.915
Briarwood ES,Cleveland,Moore,Public,82,0,0.915
Hayes ES (Oklahoma County),Oklahoma,Oklahoma City,Public,63,0,0.914
Latta ES,Pontotoc,Latta,Public,97,0.01,0.914
Pioneer Park ES,Comanche,Lawton,Public,58,0,0.914
Heavener ES,Le Flore,Heavener,Public,52,0,0.914
Barnsdall ES,Osage,Barnsdall,Public,23,0.09,0.913
Briggs Public School,Cherokee,Briggs,Public,46,0.07,0.913
Elgin ES,Comanche,Elgin,Public,138,0.05,0.913
Midwest City ES,Oklahoma,Midwest City-Del City,Public,138,0.01,0.913
Oklahoma Virtual Charter Academy ES,Oklahoma,N/A,Charter,99,0.1,0.913
Strother ES,Seminole,Strother,Public,23,0.04,0.913
Ward ES,Osage,Shidler,Public,23,0.04,0.913
Washington ES (Woods County),Woods,Alva,Public,80,0.03,0.913
Beggs ES,Okmulgee,Beggs,Public,68,0,0.912
Roosa ES,Rogers,Claremore,Public,45,0,0.911
Whitman ES,Tulsa,Tulsa,Public,45,0,0.911
Prairie Queen ES,Oklahoma,Oklahoma City,Public,122,0,0.910
Andersen ES,Tulsa,Union,Public,55,0.04,0.909
Bluejacket ES,Craig,Bluejacket,Public,11,0,0.909
Buffalo Valley ES,Latimer,Buffalo Valley,Public,11,0,0.909
Dickson ES,Carter,Dickson,Public,97,0.01,0.909
Fort Gibson Early Learning Center,Muskogee,Fort Gibson,Public,137,0.03,0.909
Hayward Smith ES,Tulsa,Owasso,Public,70,0.01,0.909
Kaiser ES,Oklahoma,Oklahoma City,Public,94,0.01,0.909
Lincoln Christian School,Tulsa,"ICAA, AdvancED",Private,51,0.12,0.909
Northmoor ES,Cleveland,Moore,Public,44,0,0.909
Orvis Risner ES,Oklahoma,Edmond,Public,88,0.03,0.909
Peckham Public School,Kay,Peckham,Public,11,0.09,0.909
Plato ES,Stephens,Duncan,Public,44,0,0.909
South Rock Creek Public School,Pottawatomie,South Rock Creek,Public,44,0.02,0.909
Brantly ES,Pushmataha,Antlers,Public,76,0,0.908
Pershing ES,Muskogee,Muskogee,Public,65,0,0.908
Vandever ES,Tulsa,Broken Arrow,Public,65,0.05,0.908
Warner ES,Muskogee,Warner,Public,65,0,0.908
Atoka ES,Atoka,Atoka,Public,54,0.04,0.907
Eugene Field ES (Oklahoma County),Oklahoma,Oklahoma City,Public,67,0.03,0.907
Jones ES (Tulsa County),Tulsa,Tulsa,Public,41,0,0.907
Bill Wallace Early Childhood Center,Grady,Chickasha,Public,161,0.03,0.907
Gracemont ES,Caddo,Gracmont,Public,16,0,0.906
Hennessey Lower ES,Kingfisher,Hennessey,Public,76,0.01,0.906
Hillcrest ES,Oklahoma,Oklahoma City,Public,79,0,0.906
Jefferson ES (Cleveland County),Cleveland,Norman,Public,64,0,0.905
Macarthur ES,Tulsa,Tulsa,Public,54,0.02,0.905
Quail Creek ES,Oklahoma,Oklahoma City,Public,63,0.02,0.905
Ida Freeman ES,Oklahoma,Edmond,Public,73,0.05,0.904
Dove School of Discovery ES Tulsa,Tulsa,N/A,Charter,47,0.02,0.904
Highland Park ES (Oklahoma County),Oklahoma,Midwest City-Del City,Public,83,0,0.904
Chouteau ES,Tulsa,Tulsa,Public,37,0.03,0.904
Freedom ES (Creek County),Creek,Sapulpa,Public,63,0,0.903
Kennedy ES,Cleveland,Norman,Public,72,0.06,0.903
Wister ES,Le Flore,Wister,Public,31,0,0.903
Art Goad ES,Rogers,Chelsea,Public,72,0.06,0.903
Nichols Hills ES,Oklahoma,Oklahoma City,Public,72,0.01,0.903
Cedar Ridge ES,Tulsa,Union,Public,69,0.01,0.902
Eisenhower ES (Cleveland County),Cleveland,Norman,Public,90,0.02,0.902
Earlsboro ES,Pottawatomie,Earlsboro,Public,15,0.07,0.902
Lewis and Clark ES,Tulsa,Tulsa,Public,75,0,0.902
Spring Creek ES (Oklahoma County),Oklahoma,Deer Creek,Public,122,0.02,0.901
Skyview ES,Canadian,Yukon,Public,111,0.03,0.901
Balko ES,Beaver,Balko,Public,10,0,0.900
Canton ES,Blaine,Canton,Public,26,0,0.900
Catalayah ES,Rogers,Claremore,Public,62,0.02,0.900
Chisholm ES (Oklahoma County),Oklahoma,Edmond,Public,114,0.05,0.900
Earl Harris ES,Oklahoma,Bethany,Public,102,0.06,0.900
Key ES,Tulsa,Tulsa,Public,38,0,0.900
Liberty Public School,Sequoyah,Liberty,Public,36,0.06,0.900
New Lima ES,Seminole,New Lima,Public,30,0,0.900
Northridge ES,Oklahoma,Putnam City,Public,120,0.03,0.900
Steed ES,Oklahoma,Midwest City-Del City,Public,80,0.03,0.900
White Rock Public School,Lincoln,White Rock,Public,10,0,0.900
Fairland ES,Ottawa,Fairland,Public,62,0.06,0.899
Nowata ES,Nowata,Nowata,Public,69,0.03,0.899
Parkview ES (Oklahoma County),Oklahoma,Midwest City-Del City,Public,100,0,0.898
Apollo ES,Oklahoma,Putnam City,Public,78,0.01,0.897
Sky Ranch ES,Cleveland,Moore,Public,97,0.01,0.897
Lexington ES,Cleveland,Liberty,Public,61,0.02,0.896
Central ES (Sequoyah Couty),Sequoyah,Central,Public,42,0,0.896
Helen Paul Learning Center,Rogers,Catoosa,Public,139,0.01,0.895
Varnum ES,Seminole,Varnum,Public,19,0,0.895
Central ES (Tulsa County),Tulsa,Bixby,Public,220,0.05,0.893
Frontier ES (Oklahoma County),Oklahoma,Edmond,Public,120,0.06,0.893
Gatewood ES,Oklahoma,Oklahoma City,Public,21,0,0.893
McClure ES,Tulsa,Tulsa,Public,81,0.01,0.893
Ripley ES,Payne,Ripley,Public,28,0.07,0.893
Wright ES,Tulsa,Tulsa,Public,28,0.04,0.893
Claremont ES,Rogers,Claremore,Public,75,0,0.892
Grimes ES,Tulsa,Tulsa,Public,26,0,0.892
First Lutheran School,Kay,NLSA,Private,20,0.05,0.891
Heritage ES (Oklahoma County),Oklahoma,Edmond,Public,109,0.07,0.891
Timber Creek ES,Cleveland,Moore,Public,82,0.04,0.890
Bearden Public School,Okfuskee,Bearden,Public,18,0.06,0.889
Creekwood ES,Tulsa,Broken Arrow,Public,92,0,0.889
Edwards ES,Oklahoma,Oklahoma City,Public,41,0,0.889
Freedom ES (Comanche County),Comanche,Lawton,Public,186,0.02,0.889
John W Rex Charter Elementary,Oklahoma,N/A,Charter,85,0.02,0.889
Lake Park ES,Oklahoma,Putnam City,Public,46,0,0.889
Mcauliffe ES,Tulsa,Union,Public,109,0,0.889
Mountain View-Gotebo ES,Kiowa,Mountain View-Gotebo,Public,18,0,0.889
Richard Kane ES,Washington,Bartlesville,Public,81,0.01,0.889
Tishomingo ES,Johnston,Tishomingo,Public,63,0.02,0.889
Truman Primary School,Cleveland,Norman,Public,117,0.08,0.889
Wiley Post ES,Oklahoma,Putnam City,Public,81,0.02,0.889
Ator ES,Tulsa,Owasso,Public,80,0.06,0.888
Deborah Brown Community School,Tulsa,N/A,Charter,80,0,0.888
Northwoods Fine Arts Academy,Tulsa,Sand Springs,Public,80,0,0.888
Washington ES (Cleveland County),Cleveland,Norman,Public,87,0.05,0.888
Haileyville ES,Pittsburg,Haileyville,Public,18,0,0.887
Wilson ES (Oklahoma County),Oklahoma,Oklahoma City,Public,62,0.06,0.887
Rosa Parks ES,Tulsa,Union,Public,115,0,0.887
Sadler Arts Academy,Muskogee,Muskogee,Public,44,0.02,0.886
Silo ES,Bryan,Silo,Public,87,0.02,0.885
Capitol Hill ES,Oklahoma,Oklahoma City,Public,72,0,0.885
Sulphur ES,Murray,Sulphur,Public,104,0.01,0.885
Tuttle Early Childhood Center,Grady,Tuttle,Public,121,0.05,0.884
Oakdale Public School,Oklahoma,Oakdale,Public,77,0.04,0.883
Francis ES,Pontotoc,Byng,Public,41,0.07,0.882
Central ES (Oklahoma County),Oklahoma,Putnam City,Public,81,0.01,0.881
Lane Public School,Atoka,Lane,Public,25,0,0.880
Roland ES,Sequoyah,Roland,Public,50,0,0.880
John D Moeller ES,Kiowa,Snyder,Public,32,0,0.879
Richmond ES,Payne,Stillwater,Public,66,0.08,0.879
Mills ES,Tulsa,Owasso,Public,74,0.01,0.878
Greenwood ES,Cherokee,Tahlequah,Public,92,0,0.876
Cleveland Bailey ES,Oklahoma,Midwest City-Del City,Public,50,0.02,0.875
Lookeba-Sickles ES,Caddo,Lookeba Sickles,Public,15,0,0.875
North Highland ES,Oklahoma,Oklahoma City,Public,40,0.05,0.875
Turpin ES,Beaver,Turpin,Public,32,0,0.875
Webbers Falls ES,Muskogee,Webber Falls,Public,16,0.06,0.875
Central ES (Cleveland County),Cleveland,Moore,Public,75,0,0.874
Prairie Vale ES,Oklahoma,Deer Creek,Public,102,0.04,0.873
Wilson ES (Cleveland County),Cleveland,Norman,Public,47,0.06,0.872
Anderson ES,Tulsa,Tulsa,Public,39,0.03,0.872
Pamela Hodson ES,Tulsa,Owasso,Public,70,0.06,0.871
Cesar Chavez ES,Oklahoma,Oklahoma City,Public,109,0,0.871
Clark ES,Tulsa,Union,Public,99,0,0.871
McKinley ES (Garfield County),Garfield,Enid,Public,56,0.07,0.871
Angus Valley ES,Tulsa,Sand Springs,Public,85,0.05,0.871
Western Oaks ES,Oklahoma,Putnam City,Public,108,0.03,0.870
Apple Creek ES,Cleveland,Moore,Public,77,0.04,0.870
Caddo ES,Bryan,Caddo,Public,21,0.1,0.870
Empire ES,Stephens,Empire,Public,35,0.03,0.870
Panama ES,Le Flore,Panama,Public,46,0,0.870
Rollingwood ES,Oklahoma,Putnam City,Public,69,0.03,0.870
Townsend ES,Oklahoma,Midwest City-Del City,Public,61,0,0.869
Community Christian School,Cleveland,"ACTS, AdvancED",Private,39,0.13,0.868
Depew ES,Creek,Depew,Public,22,0.05,0.868
Highland Park ES (Payne County),Payne,Stillwater,Public,98,0.01,0.867
Darnaby ES,Tulsa,Union,Public,89,0.01,0.867
Earlywine ES,Cleveland,Moore,Public,57,0,0.867
Lone Star Public School,Creek,Lone Star,Public,103,0.02,0.867
Rockdale ES,Ottawa,Miami,Public,45,0.04,0.867
Whitebead Public School,Garvin,Whitebead,Public,45,0,0.867
Elmore City-Pernell ES,Garvin,Elmore City-Pernell,Public,25,0,0.866
Eufaula ES,McIntosh,Eufaula,Public,96,0.06,0.866
Collinsville Early Childhood Center,Tulsa,Collinsville,Public,207,0,0.865
Kiowa ES,Pittsburg,Kiowa,Public,16,0,0.865
Broadmoore ES,Cleveland,Moore,Public,102,0.07,0.863
Adams ES (Comanche County),Comanche,Lawton,Public,29,0,0.862
Ringwood ES,Major,Ringwood,Public,29,0,0.862
South Lake ES,Cleveland,Moore,Public,94,0.05,0.862
Kendall-Whittier ES,Tulsa,Tulsa,Public,114,0.03,0.861
Crowder ES,Pittsburg,Crowder,Public,26,0,0.861
Peary ES,Tulsa,Tulsa,Public,64,0,0.859
Grove Public School,Pottawatomie,Grove,Public,56,0.04,0.859
Deer Creek-Lamont ES,Grant,Deer Creek-Lamont,Public,13,0,0.859
Soldier Creek ES,Oklahoma,Midwest City-Del City,Public,99,0.05,0.859
Cache Primary ES,Comanche,Cache,Public,123,0,0.857
Santa Fe ES,Cleveland,Moore,Public,49,0.04,0.857
Stone Canyon ES,Tulsa,Owasso,Public,112,0.07,0.857
Crossings Christian School,Oklahoma,ACSI,Private,79,0.05,0.855
Sangre Ridge ES,Payne,Stillwater,Public,96,0.03,0.854
Tushka ES,Atoka,Tushka,Public,34,0,0.853
Spring Creek ES (Tulsa County),Tulsa,Broken Arrow,Public,81,0.09,0.852
Hammon ES,Roger Mills,Hammon,Public,18,0,0.852
Heritage Trails ES,Cleveland,Moore,Public,72,0.11,0.851
Dove Science Academy ES,Oklahoma,N/A,Charter,49,0,0.851
Washington Irving ES (Oklahoma County),Oklahoma,Edmond,Public,127,0.05,0.850
Cleveland Primary ES,Pawnee,Cleveland,Public,104,0.01,0.850
Copan ES,Washington,Copan,Public,16,0,0.850
Council Grove ES,Oklahoma,Western Heights,Public,69,0,0.850
Eagletown ES,McCurtain,Eagletown,Public,10,0,0.850
Frink-Chambers Public School,Pittsburg,Frink-Chambers,Public,53,0,0.850
Glenwood ES,Garfield,Enid,Public,75,0,0.850
Riverside Public School,Canadian,Riverside,Public,20,0.05,0.850
Whittier ES (Muskogee County),Muskogee,Muskogee,Public,40,0,0.850
Winding Creek ES,Cleveland,Moore,Public,100,0.02,0.850
Oklahoma Connections Academy ES,Oklahoma,N/A,Charter,52,0.21,0.848
Elk City ES,Beckham,Elk City,Public,144,0,0.848
Red Oak ES,Cleveland,Moore,Public,59,0.02,0.847
Barnes ES (Tulsa County),Tulsa,Owasso,Public,91,0.03,0.846
Del City ES,Oklahoma,Midwest City-Del City,Public,96,0,0.846
Greystone ES,Oklahoma,Oklahoma City,Public,89,0,0.846
Lukfata Public School,McCurtain,Lukfata,Public,33,0.03,0.846
Chattanooga ES,Comanche,Chattanooga,Public,19,0,0.844
Westwood ES (Oklahoma County),Oklahoma,Oklahoma City,Public,51,0,0.843
Carriage Hills ES,Comanche,Lawton,Public,42,0,0.842
Cherokee ES (Cherokee County),Cherokee,Tahlequah,Public,90,0,0.842
Tony Goetz ES,Muskogee,Muskogee,Public,44,0,0.841
Victory Christian School,Tulsa,"ICAA, AdvancED",Private,44,0.23,0.841
Lakeview ES,Cleveland,Norman,Public,27,0.07,0.840
Cherokee ES (Alfalfa County),Alfalfa,Cherokee,Public,36,0,0.838
Monroe ES (Garfield County),Garfield,Enid,Public,58,0,0.836
Amber-Pocasset ES,Grady,Amber-Pocasset,Public,30,0.03,0.833
Mayo Demonstration ES,Tulsa,Tulsa,Public,55,0.04,0.833
Skelly ES,Tulsa,Tulsa,Public,108,0,0.833
St. Charles Borromeo Catholic School,Oklahoma,Occsaa,Private,18,0,0.833
Wright Christian Academy,Tulsa,ACSI,Private,12,0,0.833
Wayland Bonds ES,Cleveland,Moore,Public,59,0.03,0.831
Schwartz ES,Oklahoma,Midwest City-Del City,Public,47,0.09,0.830
ECDC Bunche,Tulsa,Tulsa,Public,76,0.01,0.828
Holy Family Cathedral School,Tulsa,Occsaa,Private,15,0.07,0.828
Dahlonegah Public School,Adair,Dahlonegah,Public,15,0,0.826
Stone Ridge ES,Canadian,Piedmont,Public,115,0.01,0.826
Blanchard ES,McClain,Blanchard,Public,132,0.05,0.826
Dewey ES,Washington,Dewey,Public,78,0.03,0.824
Yale ES,Payne,Yale,Public,28,0.07,0.821
Cottonwood Public School,Coal,Cottonwood,Public,20,0.15,0.821
Edison ES (Greer County),Greer,Mangum,Public,54,0.02,0.821
Robertson ES,Tulsa,Tulsa,Public,61,0,0.820
Cleora Public School,Delaware,Cleora,Public,16,0,0.818
Fargo ES,Ellis,Fargo,Public,16,0,0.818
Moseley Public School,Delaware,Moseley,Public,22,0.05,0.818
Ryal Public School,McIntosh,Ryal,Public,11,0,0.818
Keystone Public School,Tulsa,Keystone,Public,30,0.07,0.817
Hoover ES (Garfield County),Garfield,Enid,Public,57,0,0.817
Lawton Christian School,Comanche,ACTS,Private,18,0,0.816
Kiefer ES,Creek,Kiefer,Public,71,0.04,0.815
Ralph Downs ES,Oklahoma,Putnam City,Public,65,0.02,0.815
ES Burroughs ES,Tulsa,Tulsa,Public,41,0,0.815
Tinker ES,Oklahoma,Midwest City-Del City,Public,91,0.03,0.813
Geronimo ES,Comanche,Geronimo,Public,28,0,0.813
FanShawe Public School,Le Flore,Fanshawe,Public,11,0,0.813
Shady Point Public School,Le Flore,Shady Point,Public,21,0,0.810
Sunset ES (Caddo County),Caddo,Anadarko,Public,126,0,0.810
Oologah-Talala Lower ES,Rogers,Oologah-Talala,Public,131,0.08,0.809
Binger-Oney ES,Caddo,Binger-Oney,Public,26,0,0.808
Sterling ES,Comanche,Sterling,Public,26,0.08,0.808
Academy Central ES,Tulsa,Tulsa,Public,62,0.02,0.806
Peters ES,Tulsa,Union,Public,72,0.03,0.806
Jones ES (Oklahoma County),Oklahoma,Joes,Public,85,0.02,0.805
Pat Henry ES,Comanche,Lawton,Public,87,0,0.805
Limestone ES,Tulsa,Sand Springs,Public,50,0,0.804
Fillmore ES,Oklahoma,Oklahoma City,Public,108,0.01,0.800
Patrick Henry ES,Tulsa,Tulsa,Public,65,0.06,0.800
"Special Care, Inc.",Oklahoma,AdvancED,Private,20,0.05,0.800
Northland ES and IS,Tulsa,Bixby,Public,87,0.05,0.798
M.L. King Jr. ES,Oklahoma,Oklahoma City,Public,48,0.02,0.796
Quapaw ES,Ottawa,Quapaw,Public,43,0.02,0.791
Mulhall-Orlando ES,Logan,Mulhall-Orlando,Public,14,0,0.786
Robin Hill Public School,Cleveland,Robin Hill,Public,37,0.03,0.784
Rose Union ES,Oklahoma,Deer Creek,Public,60,0,0.783
St. Mary Catholic School Guthrie,Logan,Occsaa,Private,23,0,0.783
Colcord ES,Delaware,Colcord,Public,37,0.03,0.782
Santa Fe South Hills ES,Oklahoma,N/A,Charter,87,0,0.782
John Glenn ES,Oklahoma,Western Heights,Public,99,0.01,0.782
Cushing Lower ES,Payne,Cushing,Public,154,0.02,0.781
Regent Preparatory School of Oklahoma,Tulsa,ACCS,Private,50,0.24,0.780
Lee ES (Oklahoma County),Oklahoma,Oklahoma City,Public,76,0,0.779
Carnegie ES (Tulsa County),Tulsa,Tulsa,Public,57,0.11,0.778
Grove Valley ES,Oklahoma,Deer Creek,Public,135,0.03,0.778
Sharon-Mutual ES,Woodward,Sharon-Mutual,Public,18,0,0.778
Edgemere ES,Oklahoma,Oklahoma City,Public,15,0,0.776
Barnes ES (Oklahoma County),Oklahoma,Midwest City-Del City,Public,49,0.02,0.776
Northwood ES,Canadian,Piedmont,Public,113,0.01,0.770
Coolidge ES (Garfield County),Garfield,Enid,Public,73,0,0.769
Idabel Primary South ES,McCurtain,Idabel,Public,104,0.01,0.769
Oklahoma Union ES,Nowata,Oklahoma Union,Public,46,0,0.769
McCurtain ES,Haskell,McCurtain,Public,16,0,0.768
Pretty Water Public School,Creek,Pretty Water,Public,30,0.1,0.767
Olustee-Eldorado ES,Jackson,Olustee-Eldorado,Public,17,0,0.765
Kerr ES,Tulsa,Tulsa,Public,87,0.01,0.763
Hartshorne ES,Pittsburg,Hartshorne,Public,44,0.05,0.763
Calera ES,Bryan,Calera,Public,72,0,0.762
Bridge Creek Early Childhood,Grady,Bridge Creek,Public,119,0.02,0.756
Dustin ES,Okfuskee,Graham-Dustin,Public,16,0.13,0.755
Kinta ES,Haskell,Kinta,Public,16,0,0.750
Liberty ES (Sapulpa District),Creek,Sapulpa,Public,39,0,0.750
Marshall ES (McIntosh County),McIntosh,Checotah,Public,117,0,0.750
Midway ES,McIntosh,Midway,Public,16,0,0.750
Stratford ES,Garvin,Stratford,Public,48,0.13,0.750
Stringtown ES,Atoka,Stringtown,Public,12,0,0.750
Verdigris ES,Rogers,Verdigris,Public,104,0.03,0.750
West Field ES,Oklahoma,Edmond,Public,108,0.02,0.741
Will Rogers ES (Stillwater District),Payne,Stillwater,Public,92,0.01,0.739
Krebs Public School,Pittsburg,Krebs,Public,60,0,0.737
Mark Twain ES (Stephens County),Stephens,Duncan,Public,30,0,0.736
Prue ES,Osage,Prue,Public,33,0,0.727
Tenkiller Public School,Cherokee,Tenkiller,Public,29,0,0.724
Berryhill South ES,Tulsa,Berryhill,Public,83,0.04,0.723
Cheyenne ES,Roger Mills,Cheyenee,Public,20,0,0.722
Oakridge ES (Oklahoma County),Oklahoma,Oklahoma City,Public,32,0,0.719
Piedmont ES,Canadian,Piedmont,Public,120,0.02,0.717
Overholser ES,Oklahoma,Putnam City,Public,81,0.05,0.716
Wilson ES (Okmulgee County),Okmulgee,Wilson,Public,14,0,0.714
Wetumka ES,Hughes,Wetumka,Public,24,0,0.708
Charles Haskell ES,Oklahoma,Edmond,Public,117,0.05,0.704
Caney ES,Atoka,Caney,Public,20,0.05,0.704
Hydro-Eakly ES,Caddo,Hydro-Eakly,Public,26,0,0.699
Henryetta ES,Okmulgee,Henryetta,Public,86,0,0.697
Gilmour ES,Kingfisher,Kingfisher,Public,107,0.01,0.692
Wickliffe Public School,Mayes,Wickliffe,Public,13,0,0.692
Angie Debo ES,Oklahoma,Edmond,Public,144,0,0.688
Houchin ES,Cleveland,Moore,Public,71,0,0.683
Apache ES,Caddo,Boone-Apache,Public,34,0,0.676
Riverfield Country Day school,Tulsa,Isas,Private,37,0.14,0.676
Arapaho-Butler ES,Custer,Arapaho-Butler,Public,36,0,0.667
Cashion ES,Kingfisher,Cashion,Public,41,0.05,0.667
Jenks West ES,Tulsa,Jenks,Public,327,0.02,0.667
Ridgecrest ES (Comanche County),Comanche,Lawton,Public,75,0.01,0.667
St. Joseph Catholic School,Muskogee,Occsaa,Private,12,0.08,0.667
Wilson ES (Ottawa County),Ottawa,Miami,Public,24,0,0.667
Epperly Heights ES,Oklahoma,Midwest City-Del City,Public,94,0.01,0.660
Vici ES,Dewey,Vici,Public,20,0.15,0.650
Watts ES,Adair,Watts,Public,17,0.06,0.647
Sullivan Village ES,Comanche,Lawton,Public,59,0,0.644
Grand View Public School,Cherokee,Grand View,Public,64,0,0.643
Undercroft Montessori School,Tulsa,"AdvancED, AMS",Private,39,0.1,0.641
Ryan ES,Jefferson,Ryan,Public,11,0,0.636
Turner ES,Love,Turner,Public,22,0,0.636
Thomas ES,Custer,Thomas-Fay-Custer Unified Dist,Public,41,0.02,0.634
Lindbergh ES,Tulsa,Tulsa,Public,59,0,0.627
Woodland Hills ES,Comanche,Lawton,Public,75,0.03,0.627
Oak Grove Public School,Payne,Oak Grove,Public,21,0,0.619
Eastlake ES,Cleveland,Moore,Public,58,0.02,0.614
Fletcher ES,Comanche,Fletcher,Public,39,0,0.604
Edison ES (Comanche County),Comanche,Lawton,Public,78,0,0.600
F.D. Moon ES,Oklahoma,Oklahoma City,Public,58,0.02,0.581
Whittier ES (Comance County),Comanche,Lawton,Public,41,0.02,0.561
Laverne ES,Harper,Laverne,Public,35,0,0.556
Big Pasture ES,Cotton,Big Pasture,Public,11,0,0.545
Jackson ES (Tulsa County),Tulsa,Tulsa,Public,48,0.02,0.543
Arthur ES,Oklahoma,Oklahoma City,Public,93,0,0.527
Deer Creek ES,Oklahoma,Deer Creek,Public,85,0.04,0.513
Hupfeld Academy - Western Village,Oklahoma,N/A,Charter,42,0.02,0.423
Cyril ES,Caddo,Cyril,Public,23,0,0.364
Victory Life Academy,Bryan,"ICAA, AdvancED",Private,14,0.14,0.357
Messiah Lutheran School,Oklahoma,NLSA,Private,14,0,0.286
Mooreland ES,Woodward,Mooreland,Public,35,0.11,0.257
Altus Christian Academy,Jackson,ACSI,Private,20,0.05,0.050
Albion Public School,Pushmataha,Albion,Public,*,*,*
Ardmore Adventist Academy,Carter,NA,Private,*,*,*
Arnett ES,Ellis,Arnett,Public,*,*,*
Avant Public School,Osage,Avant,Public,*,*,*
Braggs ES,Muskogee,Braggs,Public,*,*,*
Burlington ES,Alfalfa,Burlington,Public,*,*,*
Dimensions Academy,Cleveland,Norman,Public,*,*,*
Dover ES,Kingfisher,Dover,Public,*,*,*
Extended Educational Services,Oklahoma,Oklahoma City Public Schools,Public,*,*,*
Family of Faith Christian School,Pottawatomie,"ICAA, AdvancED",Private,*,*,*
Forgan ES,Beaver,Forgan,Public,*,*,*
Fort Supply ES,Woodward,Fort Supply,Public,*,*,*
Freedom ES,Woods,Freedom,Public,*,*,*
Glover Public School,McCurtain,Glover,Public,*,*,*
Granite ES,Greer,Granite,Public,*,*,*
Gypsy Public School,Creek,Gypsy,Public,*,*,*
Hanna ES,McIntosh,Hanna,Public,*,*,*
Happy Hands Education Center,Tulsa,ACSI,Private,*,*,*
Hardesty ES,Texas,Hardesty,Public,*,*,*
Haywood Public School,Pittsburg,Haywood,Public,*,*,*
Hillsdale Christian School,Garfield,ACSI,Private,*,*,*
Life Christian Academy,Oklahoma,"ICAA, AdvancED",Private,*,*,*
Lone Wolf ES,Kiowa,Lone Wolf,Public,*,*,*
Mercy School Institute,Oklahoma,AdvancED,Private,*,*,*
Nahoba Public School,Pushmataha,Nashoba,Public,*,*,*
Norwood Public School,Cherokee,Norwood,Public,*,*,*
Oklahoma School for the Deaf,Murray,Oklahoma School for the Deaf,Public,*,*,*
Optima Public School,Texas,Optima,Public,*,*,*
Parkview Adventist Academy,Oklahoma,OCSDA,Private,*,*,*
Peavine Public School,Adair,Peavine,Public,*,*,*
Positive Tomorrows,Oklahoma,AdvancED,Private,*,*,*
Ravia Public School,Johnston,Ravia,Public,*,*,*
 Sweetwater ES,Roger Mills,Sweetwater,Public,*,*,*
Taloga ES,Dewey,Taloga,Public,*,*,*
White Oak Public School,Craig,White Oak,Public,*,*,*
Wynona ES,Osage,Wynona,Public,*,*,*
Yarbrough ES,Texas,Yarbrough,Public,*,*,*
