id,County,District,Type,Kindergarteners_with_Vaccination,value,exempt
Rush Springs ES,Grady,Rush Springs,Public,26,0.92,0.04
Holmes Park ES,Creek,Sapulpa,Public,99,0.92,0
Shawnee Early Childhood Center,Pottawatomie,Shawne,Public,263,0.92,0.02
Skyline ES,Payne,Stillwater,Public,74,0.92,0.05
Westwood ES (Payne County),Payne,Stillwater,Public,79,0.92,0.03
Columbus ES,Tulsa,Tulsa,Public,60,0.92,0
Kendall-Whittier ES,Tulsa,Tulsa,Public,114,0.92,0.03
Lindbergh ES,Tulsa,Tulsa,Public,59,0.92,0
Salk ES,Tulsa,Tulsa,Public,92,0.92,0.01
Sequoyah ES (Tulsa County),Tulsa,Tulsa,Public,83,0.92,0
Grove ES,Tulsa,Union,Public,61,0.92,0.03
Whitefield Public School,Haskell,Whitefield,Public,25,0.92,0.04
Brantly ES,Pushmataha,Antlers,Public,76,0.91,0
Atoka ES,Atoka,Atoka,Public,54,0.91,0.04
Barnsdall ES,Osage,Barnsdall,Public,23,0.91,0.09
Beggs ES,Okmulgee,Beggs,Public,68,0.91,0
Bluejacket ES,Craig,Bluejacket,Public,11,0.91,0
Briggs Public School,Cherokee,Briggs,Public,46,0.91,0.07
Vandever ES,Tulsa,Broken Arrow,Public,65,0.91,0.05
Buffalo Valley ES,Latimer,Buffalo Valley,Public,11,0.91,0
Helen Paul Learning Center,Rogers,Catoosa,Public,139,0.91,0.01
Bill Wallace Early Childhood Center,Grady,Chickasha,Public,161,0.91,0.03
Roosa ES,Rogers,Claremore,Public,45,0.91,0
Dibble ES,McClain,Dibble,Public,44,0.91,0.02
Plato ES,Stephens,Duncan,Public,44,0.91,0
Orvis Risner ES,Oklahoma,Edmond,Public,88,0.91,0.03
Fort Towson ES,Choctaw,Fort Townson,Public,22,0.91,0
Grand View Public School,Cherokee,Grand View,Public,64,0.91,0
Healdton ES,Carter,Healdton,Public,22,0.91,0.09
Justus-Tiawah Public School,Rogers,Justus-Tiawah,Public,54,0.91,0.02
Kansas ES,Delaware,Kansas,Public,55,0.91,0
Laverne ES,Harper,Laverne,Public,35,0.91,0
Pioneer Park ES,Comanche,Lawton,Public,58,0.91,0
Midwest City ES,Oklahoma,Midwest City-Del City,Public,138,0.91,0.01
Briarwood ES,Cleveland,Moore,Public,82,0.91,0
Northmoor ES,Cleveland,Moore,Public,44,0.91,0
Pershing ES,Muskogee,Muskogee,Public,65,0.91,0
Lincoln ES (Cleveland County),Cleveland,Norman,Public,44,0.91,0.05
Parmelee ES,Oklahoma,Oklahoma City,Public,129,0.91,0.01
Prairie Queen ES,Oklahoma,Oklahoma City,Public,122,0.91,0
Oklahoma Union ES,Nowata,Oklahoma Union,Public,46,0.91,0
Hayward Smith ES,Tulsa,Owasso,Public,70,0.91,0.01
Peckham Public School,Kay,Peckham,Public,11,0.91,0.09
Hilldale ES,Oklahoma,Putnam City,Public,117,0.91,0
Ward ES,Osage,Shidler,Public,23,0.91,0.04
South Rock Creek Public School,Pottawatomie,South Rock Creek,Public,44,0.91,0.02
Strother ES,Seminole,Strother,Public,23,0.91,0.04
Eisenhower International ES,Tulsa,Tulsa,Public,115,0.91,0.14
Eugene Field ES (Tulsa County),Tulsa,Tulsa,Public,54,0.91,0
Henry Zarrow International School,Tulsa,Tulsa,Public,96,0.91,0.05
Whitman ES,Tulsa,Tulsa,Public,45,0.91,0
Andersen ES,Tulsa,Union,Public,55,0.91,0.04
Vanoss ES,Pontotoc,Vanoss,Public,47,0.91,0.02
Warner ES,Muskogee,Warner,Public,65,0.91,0
Washington ES (McClain County),McClain,Washington,Public,80,0.91,0.03
Balko ES,Beaver,Balko,Public,10,0.9,0
Earl Harris ES,Oklahoma,Bethany,Public,102,0.9,0.06
Liberty ES (Broken Arrow District),Tulsa,Broken Arrow,Public,96,0.9,0.05
Spring Creek ES (Tulsa County),Tulsa,Broken Arrow,Public,81,0.9,0.09
Caney ES,Atoka,Caney,Public,20,0.9,0.05
Cashion ES,Kingfisher,Cashion,Public,41,0.9,0.05
Art Goad ES,Rogers,Chelsea,Public,72,0.9,0.06
Cheyenne ES,Roger Mills,Cheyenee,Public,20,0.9,0
Central ES (Wagoner County),Wagoner,Coweta,Public,67,0.9,0.1
Eagletown ES,McCurtain,Eagletown,Public,10,0.9,0
Chisholm ES (Oklahoma County),Oklahoma,Edmond,Public,114,0.9,0.05
Friend Public School,Grady,Friend,Public,31,0.9,0.1
Idabel Primary South ES,McCurtain,Idabel,Public,104,0.9,0.01
Casady School,Oklahoma,Isas,Private,30,0.9,0
Keota ES,Haskell,Keota,Public,31,0.9,0
Keystone Public School,Tulsa,Keystone,Public,30,0.9,0.07
Lexington ES,Cleveland,Liberty,Public,61,0.9,0.02
Macomb ES,Pottawatomie,Macomb,Public,21,0.9,0.05
Highland Park ES (Oklahoma County),Oklahoma,Midwest City-Del City,Public,83,0.9,0
Steed ES,Oklahoma,Midwest City-Del City,Public,80,0.9,0.03
Fairview ES,Cleveland,Moore,Public,99,0.9,0.03
Sky Ranch ES,Cleveland,Moore,Public,97,0.9,0.01
New Lima ES,Seminole,New Lima,Public,30,0.9,0
Nowata ES,Nowata,Nowata,Public,69,0.9,0.03
Edwards ES,Oklahoma,Oklahoma City,Public,41,0.9,0
Nichols Hills ES,Oklahoma,Oklahoma City,Public,72,0.9,0.01
Quail Creek ES,Oklahoma,Oklahoma City,Public,63,0.9,0.02
Jefferson ES (Mayes County),Mayes,Pryor,Public,42,0.9,0.02
Apollo ES,Oklahoma,Putnam City,Public,78,0.9,0.01
Northridge ES,Oklahoma,Putnam City,Public,120,0.9,0.03
Limestone ES,Tulsa,Sand Springs,Public,50,0.9,0
Parkview ES (Lincoln County),Lincoln,Stroud,Public,49,0.9,0
Disney ES,Tulsa,Tulsa,Public,83,0.9,0
White Rock Public School,Lincoln,White Rock,Public,10,0.9,0
Wister ES,Le Flore,Wister,Public,31,0.9,0
Skyview ES,Canadian,Yukon,Public,111,0.9,0.03
Washington ES (Woods County),Woods,Alva,Public,80,0.89,0.03
Richard Kane ES,Washington,Bartlesville,Public,81,0.89,0.01
Bearden Public School,Okfuskee,Bearden,Public,18,0.89,0.06
David ES,Murray,Davis,Public,80,0.89,0.01
Gans ES,Sequoyah,Gans,Public,28,0.89,0
Geronimo ES,Comanche,Geronimo,Public,28,0.89,0
Hennessey Lower ES,Kingfisher,Hennessey,Public,76,0.89,0.01
Heritage Hall School,Oklahoma,Isas,Private,46,0.89,0.04
Edison ES (Greer County),Greer,Mangum,Public,54,0.89,0.02
McCord Public School,Osage,McCord,Public,56,0.89,0.02
Central ES (Cleveland County),Cleveland,Moore,Public,75,0.89,0
Fisher ES,Cleveland,Moore,Public,46,0.89,0
Timber Creek ES,Cleveland,Moore,Public,82,0.89,0.04
Mountain View-Gotebo ES,Kiowa,Mountain View-Gotebo,Public,18,0.89,0
Creek ES,Muskogee,Muskogee,Public,63,0.89,0.02
Sadler Arts Academy,Muskogee,Muskogee,Public,44,0.89,0.02
Lakeview ES,Cleveland,Norman,Public,27,0.89,0.07
Truman Primary School,Cleveland,Norman,Public,117,0.89,0.08
Johnson ES,Oklahoma,Oklahoma City,Public,27,0.89,0.04
Wilson ES (Oklahoma County),Oklahoma,Oklahoma City,Public,62,0.89,0.06
Ator ES,Tulsa,Owasso,Public,80,0.89,0.06
Wiley Post ES,Oklahoma,Putnam City,Public,81,0.89,0.02
Ripley ES,Payne,Ripley,Public,28,0.89,0.07
Northwoods Fine Arts Academy,Tulsa,Sand Springs,Public,80,0.89,0
Freedom ES (Creek County),Creek,Sapulpa,Public,63,0.89,0
Silo ES,Bryan,Silo,Public,87,0.89,0.02
Tishomingo ES,Johnston,Tishomingo,Public,63,0.89,0.02
Chouteau ES,Tulsa,Tulsa,Public,37,0.89,0.03
Grissom ES,Tulsa,Tulsa,Public,37,0.89,0
Hamilton ES,Tulsa,Tulsa,Public,62,0.89,0
McClure ES,Tulsa,Tulsa,Public,81,0.89,0.01
Wright ES,Tulsa,Tulsa,Public,28,0.89,0.04
Rosa Parks ES,Tulsa,Union,Public,115,0.89,0
Varnum ES,Seminole,Varnum,Public,19,0.89,0
Canton ES,Blaine,Canton,Public,26,0.88,0
Central ES (Sequoyah Couty),Sequoyah,Central,Public,42,0.88,0
Cleora Public School,Delaware,Cleora,Public,16,0.88,0
Freedom ES (Comanche County),Comanche,Lawton,Public,186,0.88,0.02
Lowrey Public School,Cherokee,Lowrey,Public,16,0.88,0
Oakdale Public School,Oklahoma,Oakdale,Public,77,0.88,0.04
Greystone ES,Oklahoma,Oklahoma City,Public,89,0.88,0
North Highland ES,Oklahoma,Oklahoma City,Public,40,0.88,0.05
Mills ES,Tulsa,Owasso,Public,74,0.88,0.01
Roland ES,Sequoyah,Roland,Public,50,0.88,0
Richmond ES,Payne,Stillwater,Public,66,0.88,0.08
Sulphur ES,Murray,Sulphur,Public,104,0.88,0.01
Lanier ES,Tulsa,Tulsa,Public,50,0.88,0.02
Turpin ES,Beaver,Turpin,Public,32,0.88,0
Tuttle Early Childhood Center,Grady,Tuttle,Public,121,0.88,0.05
Webbers Falls ES,Muskogee,Webber Falls,Public,16,0.88,0.06
John Glenn ES,Oklahoma,Western Heights,Public,99,0.88,0.01
Cache Primary ES,Comanche,Cache,Public,123,0.87,0
Central High ES,Stephens,Central High,Public,31,0.87,0.06
Chouteau-Mazie Ec Center,Mayes,Chouteau-Mazie,Public,62,0.87,0
Comanche ES,Stephens,Comanche,Public,76,0.87,0.08
Darlington Public School,Canadian,Darlington,Public,30,0.87,0
Prairie Vale ES,Oklahoma,Deer Creek,Public,102,0.87,0.04
Earlsboro ES,Pottawatomie,Earlsboro,Public,15,0.87,0.07
Centennial ES,Oklahoma,Edmond,Public,151,0.87,0.03
Lookeba-Sickles ES,Caddo,Lookeba Sickles,Public,15,0.87,0
Rockdale ES,Ottawa,Miami,Public,45,0.87,0.04
Townsend ES,Oklahoma,Midwest City-Del City,Public,61,0.87,0
Apple Creek ES,Cleveland,Moore,Public,77,0.87,0.04
Wilson ES (Cleveland County),Cleveland,Norman,Public,47,0.87,0.06
Eugene Field ES (Oklahoma County),Oklahoma,Oklahoma City,Public,67,0.87,0.03
Pamela Hodson ES,Tulsa,Owasso,Public,70,0.87,0.06
Panama ES,Le Flore,Panama,Public,46,0.87,0
Dennis ES,Oklahoma,Putnam City,Public,68,0.87,0.06
Rollingwood ES,Oklahoma,Putnam City,Public,69,0.87,0.03
Western Oaks ES,Oklahoma,Putnam City,Public,108,0.87,0.03
Angus Valley ES,Tulsa,Sand Springs,Public,85,0.87,0.05
Highland Park ES (Payne County),Payne,Stillwater,Public,98,0.87,0.01
Anderson ES,Tulsa,Tulsa,Public,39,0.87,0.03
Emerson ES (Tulsa County),Tulsa,Tulsa,Public,23,0.87,0
McKinley ES (Tulsa County),Tulsa,Tulsa,Public,62,0.87,0.02
Ellington ES,Wagoner,Wagoner,Public,187,0.87,0.01
Whitebead Public School,Garvin,Whitebead,Public,45,0.87,0
Crossings Christian School,Oklahoma,ACSI,Private,79,0.86,0.05
Butner ES,Seminole,Butner,Public,21,0.86,0
Colcord ES,Delaware,Colcord,Public,37,0.86,0.03
Deer Creek ES,Oklahoma,Deer Creek,Public,85,0.86,0.04
Grove Valley ES,Oklahoma,Deer Creek,Public,135,0.86,0.03
Adams ES (Comanche County),Comanche,Lawton,Public,29,0.86,0
Soldier Creek ES,Oklahoma,Midwest City-Del City,Public,99,0.86,0.05
Broadmoore ES,Cleveland,Moore,Public,102,0.86,0.07
Santa Fe ES,Cleveland,Moore,Public,49,0.86,0.04
South Lake ES,Cleveland,Moore,Public,94,0.86,0.05
Kennedy ES,Cleveland,Norman,Public,72,0.86,0.06
Stone Canyon ES,Tulsa,Owasso,Public,112,0.86,0.07
Kirkland Early Childhood Center,Oklahoma,Putnam City,Public,37,0.86,0.03
Ringwood ES,Major,Ringwood,Public,29,0.86,0
Peary ES,Tulsa,Tulsa,Public,64,0.86,0
Cottonwood Public School,Coal,Cottonwood,Public,20,0.85,0.15
Spring Creek ES (Oklahoma County),Oklahoma,Deer Creek,Public,122,0.85,0.02
Deer Creek-Lamont ES,Grant,Deer Creek-Lamont,Public,13,0.85,0
Cross Timbers ES,Oklahoma,Edmond,Public,124,0.85,0.04
Frontier ES (Oklahoma County),Oklahoma,Edmond,Public,120,0.85,0.06
Washington Irving ES (Oklahoma County),Oklahoma,Edmond,Public,127,0.85,0.05
Gore ES,Sequoyah,Gore,Public,40,0.85,0
Harmony Public School,Atoka,Harmony,Public,27,0.85,0.07
Luther ES,Oklahoma,Luther,Public,65,0.85,0.09
Red Oak ES,Cleveland,Moore,Public,59,0.85,0.02
Winding Creek ES,Cleveland,Moore,Public,100,0.85,0.02
Whittier ES (Muskogee County),Muskogee,Muskogee,Public,40,0.85,0
Oklahoma Virtual Charter Academy ES,Oklahoma,N/A,Charter,99,0.85,0.1
Dove School of Discovery ES Tulsa,Tulsa,N/A,Charter,47,0.85,0.02
Cleveland ES (Oklahoma County),Oklahoma,Oklahoma City,Public,60,0.85,0.07
Heronville ES,Oklahoma,Oklahoma City,Public,74,0.85,0
Barnes ES (Tulsa County),Tulsa,Owasso,Public,91,0.85,0.03
E.M. Trout ES,Kay,Ponca City,Public,40,0.85,0.03
Riverside Public School,Canadian,Riverside,Public,20,0.85,0.05
Sangre Ridge ES,Payne,Stillwater,Public,96,0.85,0.03
Cooper ES,Tulsa,Tulsa,Public,80,0.85,0
Eliot ES,Tulsa,Tulsa,Public,46,0.85,0.09
Grimes ES,Tulsa,Tulsa,Public,26,0.85,0
Tushka ES,Atoka,Tushka,Public,34,0.85,0
Chattanooga ES,Comanche,Chattanooga,Public,19,0.84,0
Charles Haskell ES,Oklahoma,Edmond,Public,117,0.84,0.05
Victory Christian School,Tulsa,"ICAA, AdvancED",Private,44,0.84,0.23
Lane Public School,Atoka,Lane,Public,25,0.84,0
Tony Goetz ES,Muskogee,Muskogee,Public,44,0.84,0
Monroe ES (Cleveland County),Cleveland,Norman,Public,73,0.84,0.05
Cesar Chavez ES,Oklahoma,Oklahoma City,Public,109,0.84,0
Westwood ES (Oklahoma County),Oklahoma,Oklahoma City,Public,51,0.84,0
Carnegie ES (Tulsa County),Tulsa,Tulsa,Public,57,0.84,0.11
Wright Christian Academy,Tulsa,ACSI,Private,12,0.83,0
Amber-Pocasset ES,Grady,Amber-Pocasset,Public,30,0.83,0.03
Blanchard ES,McClain,Blanchard,Public,132,0.83,0.05
Cyril ES,Caddo,Cyril,Public,23,0.83,0
Maysville ES,Garvin,Maysville,Public,30,0.83,0
Schwartz ES,Oklahoma,Midwest City-Del City,Public,47,0.83,0.09
Eastlake ES,Cleveland,Moore,Public,58,0.83,0.02
Wayland Bonds ES,Cleveland,Moore,Public,59,0.83,0.03
Holy Trinity Lutheran School,Oklahoma,NLSA,Private,29,0.83,0.03
St. Charles Borromeo Catholic School,Oklahoma,Occsaa,Private,18,0.83,0
Stone Ridge ES,Canadian,Piedmont,Public,115,0.83,0.01
Skelly ES,Tulsa,Tulsa,Public,108,0.83,0
Dewar ES,Okmulgee,Dewar,Public,34,0.82,0.03
ClegernES,Oklahoma,Edmond,Public,44,0.82,0.05
Felt ES,Cimarron,Felt,Public,11,0.82,0
Cotteral ES,Logan,Guthrie,Public,212,0.82,0.02
Kiefer ES,Creek,Kiefer,Public,71,0.82,0.04
Edison ES (Comanche County),Comanche,Lawton,Public,78,0.82,0
Kingsgate ES,Cleveland,Moore,Public,65,0.82,0.03
Moseley Public School,Delaware,Moseley,Public,22,0.82,0.05
Lee ES (Oklahoma County),Oklahoma,Oklahoma City,Public,76,0.82,0
Ralph Downs ES,Oklahoma,Putnam City,Public,65,0.82,0.02
Ryal Public School,McIntosh,Ryal,Public,11,0.82,0
Hoover ES (Tulsa County),Tulsa,Tulsa,Public,60,0.82,0.03
Robertson ES,Tulsa,Tulsa,Public,61,0.82,0
Yale ES,Payne,Yale,Public,28,0.82,0.07
Sunset ES (Caddo County),Caddo,Anadarko,Public,126,0.81,0
Binger-Oney ES,Caddo,Binger-Oney,Public,26,0.81,0
Erick ES,Beckham,Erick,Public,27,0.81,0.04
Fargo ES,Ellis,Fargo,Public,16,0.81,0
Gilmour ES,Kingfisher,Kingfisher,Public,107,0.81,0.01
Tinker ES,Oklahoma,Midwest City-Del City,Public,91,0.81,0.03
Oologah-Talala Lower ES,Rogers,Oologah-Talala,Public,131,0.81,0.08
Shady Point Public School,Le Flore,Shady Point,Public,21,0.81,0
Sterling ES,Comanche,Sterling,Public,26,0.81,0.08
Academy Central ES,Tulsa,Tulsa,Public,62,0.81,0.02
Peters ES,Tulsa,Union,Public,72,0.81,0.03
"Special Care, Inc.",Oklahoma,AdvancED,Private,20,0.8,0.05
Northern Hills ES,Oklahoma,Edmond,Public,114,0.8,0.1
Lincoln Christian School,Tulsa,"ICAA, AdvancED",Private,51,0.8,0.12
Pat Henry ES,Comanche,Lawton,Public,87,0.8,0
First Lutheran School,Kay,NLSA,Private,20,0.8,0.05
Jones ES (Tulsa County),Tulsa,Tulsa,Public,41,0.8,0
Macarthur ES,Tulsa,Tulsa,Public,54,0.8,0.02
Patrick Henry ES,Tulsa,Tulsa,Public,65,0.8,0.06
Mulhall-Orlando ES,Logan,Mulhall-Orlando,Public,14,0.79,0
Quapaw ES,Ottawa,Quapaw,Public,43,0.79,0.02
Regent Preparatory School of Oklahoma,Tulsa,ACCS,Private,50,0.78,0.24
Crutcho Public School,Oklahoma,Crutcho,Public,32,0.78,0
Rose Union ES,Oklahoma,Deer Creek,Public,60,0.78,0
John Ross ES,Oklahoma,Edmond,Public,119,0.78,0.03
Haileyville ES,Pittsburg,Haileyville,Public,18,0.78,0
Barnes ES (Oklahoma County),Oklahoma,Midwest City-Del City,Public,49,0.78,0.02
Santa Fe South Hills ES,Oklahoma,N/A,Charter,87,0.78,0
St. Mary Catholic School Guthrie,Logan,Occsaa,Private,23,0.78,0
Capitol Hill ES,Oklahoma,Oklahoma City,Public,72,0.78,0
Robin Hill Public School,Cleveland,Robin Hill,Public,37,0.78,0.03
Sharon-Mutual ES,Woodward,Sharon-Mutual,Public,18,0.78,0
Clinton West ES,Tulsa,Tulsa,Public,78,0.78,0
ECDC Bunche,Tulsa,Tulsa,Public,76,0.78,0.01
Lee ES (Tulsa County),Tulsa,Tulsa,Public,68,0.78,0.04
Community Christian School,Cleveland,"ACTS, AdvancED",Private,39,0.77,0.13
McKinley ES (Garfield County),Garfield,Enid,Public,56,0.77,0.07
Oklahoma Connections Academy ES,Oklahoma,N/A,Charter,52,0.77,0.21
Immanuel Lutheran Christian Academy,Tulsa,NLSA,Private,13,0.77,0.08
Northwood ES,Canadian,Piedmont,Public,113,0.77,0.01
Pretty Water Public School,Creek,Pretty Water,Public,30,0.77,0.1
Bridge Creek Early Childhood,Grady,Bridge Creek,Public,119,0.76,0.02
Caddo ES,Bryan,Caddo,Public,21,0.76,0.1
Olustee-Eldorado ES,Jackson,Olustee-Eldorado,Public,17,0.76,0
Harvest Hills ES,Oklahoma,Putnam City,Public,59,0.76,0
Dual Language Academy,Tulsa,Tulsa,Public,49,0.76,0.06
Key ES,Tulsa,Tulsa,Public,38,0.76,0
Kiowa ES,Pittsburg,Kiowa,Public,16,0.75,0
Liberty Public School,Sequoyah,Liberty,Public,36,0.75,0.06
Midway ES,McIntosh,Midway,Public,16,0.75,0
Stratford ES,Garvin,Stratford,Public,48,0.75,0.13
Stringtown ES,Atoka,Stringtown,Public,12,0.75,0
Marshall ES (Tulsa County),Tulsa,Tulsa,Public,16,0.75,0
Verdigris ES,Rogers,Verdigris,Public,104,0.75,0.03
West Field ES,Oklahoma,Edmond,Public,108,0.74,0.02
Kremlin-Hillsdale ES,Garfield,Kremlin-Hillsdale,Public,19,0.74,0
Will Rogers ES (Stillwater District),Payne,Stillwater,Public,92,0.74,0.01
Mark Twain ES (Tulsa County),Tulsa,Tulsa,Public,53,0.74,0.02
Prue ES,Osage,Prue,Public,33,0.73,0
Berryhill South ES,Tulsa,Berryhill,Public,83,0.72,0.04
Cherokee ES (Alfalfa County),Alfalfa,Cherokee,Public,36,0.72,0
Oakridge ES (Oklahoma County),Oklahoma,Oklahoma City,Public,32,0.72,0
Piedmont ES,Canadian,Piedmont,Public,120,0.72,0.02
Overholser ES,Oklahoma,Putnam City,Public,81,0.72,0.05
Tenkiller Public School,Cherokee,Tenkiller,Public,29,0.72,0
Wetumka ES,Hughes,Wetumka,Public,24,0.71,0
Wilson ES (Okmulgee County),Okmulgee,Wilson,Public,14,0.71,0
Canadian ES,Pittsburg,Canadian,Public,27,0.7,0
Central Oak ES,Oklahoma,Crooked Oak,Public,71,0.7,0
Heritage ES (Oklahoma County),Oklahoma,Edmond,Public,109,0.7,0.07
Ida Freeman ES,Oklahoma,Edmond,Public,73,0.7,0.05
Angie Debo ES,Oklahoma,Edmond,Public,144,0.69,0
Glencoe ES,Payne,Glencoe,Public,26,0.69,0
Wickliffe Public School,Mayes,Wickliffe,Public,13,0.69,0
Apache ES,Caddo,Boone-Apache,Public,34,0.68,0
Riverfield Country Day school,Tulsa,Isas,Private,37,0.68,0.14
Hugh Bish ES,Comanche,Lawton,Public,41,0.68,0
Arapaho-Butler ES,Custer,Arapaho-Butler,Public,36,0.67,0
Jennings Public School,Pawnee,Jennings,Public,24,0.67,0.04
Carriage Hills ES,Comanche,Lawton,Public,42,0.67,0
Ridgecrest ES (Comanche County),Comanche,Lawton,Public,75,0.67,0.01
St. Joseph Catholic School,Muskogee,Occsaa,Private,12,0.67,0.08
Wilson ES (Carter County),Carter,WIlson,Public,33,0.67,0
Epic Blended Charter,Oklahoma,N/A,Charter,562,0.66,0.21
Vici ES,Dewey,Vici,Public,20,0.65,0.15
Watts ES,Adair,Watts,Public,17,0.65,0.06
Undercroft Montessori School,Tulsa,"AdvancED, AMS",Private,39,0.64,0.1
Sullivan Village ES,Comanche,Lawton,Public,59,0.64,0
Green Pastures ES,Oklahoma,Oklahoma City,Public,28,0.64,0
Ryan ES,Jefferson,Ryan,Public,11,0.64,0
Turner ES,Love,Turner,Public,22,0.64,0
Woodland Hills ES,Comanche,Lawton,Public,75,0.63,0.03
Linwood ES,Oklahoma,Oklahoma City,Public,67,0.63,0
Thomas ES,Custer,Thomas-Fay-Custer Unified Dist,Public,41,0.63,0.02
Oak Grove Public School,Payne,Oak Grove,Public,21,0.62,0
Earlywine ES,Cleveland,Moore,Public,57,0.61,0
Flower Mound Public School,Comanche,Flower Mound,Public,53,0.6,0
Edgemere ES,Oklahoma,Oklahoma City,Public,15,0.6,0
Fairland ES,Ottawa,Fairland,Public,62,0.58,0.06
Lawton Christian School,Comanche,ACTS,Private,18,0.56,0
Whittier ES (Comance County),Comanche,Lawton,Public,41,0.56,0.02
Big Pasture ES,Cotton,Big Pasture,Public,11,0.55,0
Jane Phillips ES,Washington,Bartlesville,Public,46,0.54,0
Arthur ES,Oklahoma,Oklahoma City,Public,93,0.53,0
Deborah Brown Community School,Tulsa,N/A,Charter,80,0.51,0
Hydro-Eakly ES,Caddo,Hydro-Eakly,Public,26,0.42,0
Cushing Lower ES,Payne,Cushing,Public,154,0.36,0.02
Victory Life Academy,Bryan,"ICAA, AdvancED",Private,14,0.36,0.14
Messiah Lutheran School,Oklahoma,NLSA,Private,14,0.29,0
Mooreland ES,Woodward,Mooreland,Public,35,0.26,0.11
Altus Christian Academy,Jackson,ACSI,Private,20,0.05,0.05
